8135398
8489245
6370954
7577970,6408128,6317795
7876413
5592555
6233571,5832494,5544352
9009060
5361201
7908304
6182078
7591303,4015182
6243099,7542035,5903782,8077176
7093086,6931558
6754640
8041483
6074503,4393582,2058046
7047705,6607803
7089195
5805702
6317783
6857022,7016977,6526426
7908638
5563377
7413048
8266432
8521642,8352357,8635150,7930237
6252964
8108492,5710887,8346894,5778178,8037158,4648037,5987500
8908842
8342784
6217049
5872387,6444533,6888204,4027380
6128651
8394406,5348748,8206740
8394405,5348748,8206740
8287320,8323060,8313353,7114990,6558194
7282186
6826548,8195575
8187334,5772661,8623088,7815682,5484437,5860973
7389836
7840486,6422462,5826243,8036988
7653572,7499872,7899704
8037158,5220501,8108492,5987500
6397143
7055169
7790869,7713698,7270951,8088575,5547839
7174293
6510451
7709152
7426481
7765107
7765106
6526808,5107698,1240867
7225160
6292547
5515369
7425292
6546002,5917486,5473692,5615257
7167731
5569082
7958204
5495291,5159447,5508940
7250105,5120420,6258229,5791344
8005752
7958024
8050982
7711100,5930474
8312226,6667700,8370583,8069225
7676411
6237095
7999721,6670905,6233589,6252544,6204798
5884272,5844272
8058897,7397272,6730540,7827336
8317070,4941623,5697543,3494533,4304236
7599881
6792373
9219810
8206740,5348748
7347011,2314098,2150730,2641004,8266749,2178941,5345638,8042288,2147197,7814598,4785558
7725382
6173403,5933497,6134324,5949876,5982889,4405829,5864620
8468099
7818214,8027883,6804660
6738697
7704051,6481973
7769605
7128617
7266265
8313353,8323060,7114990,8287320
6649155
5624695,4285384,5417913,5620723,5061175,2711561,2916768,4874309,2976569,7670536
6653215,6242761,5563422
8589271
8235416
6553350
7695870
7207005
8121904,8212904
6587067,4774511,4623887,4918439,4825200,4626848
8419214
6081792
6298189,5352712,5847021,5182784,4707076,5408564,5696179,4900126
7785334
5709603
5982889,5864620,5933497,6173403,5949876,4405829
7899704,7653572,7499872
8140429
7348575,4346164,5825043
8805825
7724879
6441828
8381473,6866928,6253526,3241662,3819773,6298624
7039507
8050711
6444533,4980307,6888204,4027380,5872387
8204561
7271929
7263548
6199077
7895059
7827099
6931558,7093086,6047294,6205527,7191299
7032089,5778389,6976039
8323060,8287320,8313353,7114990
6494387,6464387
6738799,5832520,5898836,6233589,5990810
7613290
8457988
6557054
8323630,8268299,8388941
8014917,4839835,4939652
7172778,5194611
7587469,5956683,5367667,6014626
7941357,5954793
8449289
7203752,6115754,7463151,6104931,6360102,7024205
5474142
7970674,5857174
6516236
5884270,5844270
7853524
7664701,6018721,6697960
8396791
6925481,6670968
7024205,7463151,7203752,6108533
7996311
6489589
7783299,6167266,6782264,6088587
7596784
6108704,6009464,5375068,6131121,6009469,5533110
6174237
RE43435
7463151,7203752,6549625,6592032,7024205
5810029
8388941,8323630,8268299
6182894,6941543
6681003
6260168
5987434
6772057,6553130,5214408,5245422
5891453
8843120
8051287
8266015
7035914
8484111
8630942
8234184
7269854
7756794
7122199
8955029
6554204
6747002
7852994
6631449
8060435
5818836,5991394
5966440,5191573,4682248
5978791,7949662,6415280,7945539,8099420,7802310,8001096,7945544,5649196,6928442
7212999
7904374
7155241,4905003,6333973,4846301,5487100,5878351,6233430
7319740,8213578,6594346,6603835,6181736,5809112,7003082,7555104,5909482,6233314
7462552
6430603
8511550
5987500,8037158,5778178,5710887,8108492
7490151
7297364,6106648
5796967
6064970,4667336,5465079,5430432
7921186,5827180,5623656,5367667,7587469
8444696,5645596,5306309,5443514,5192327
5590642
7671070
7860222,6058163,6141406,7092494,6064963,7191133,6668045
6032137,5910988,5373550,5412730
8165939
7923311
8033458,5629980,8118221,7942317,8061598,5530235,5915019
6011040,5194611,5997915,6673381,7172778,6441168
7228429,6069655,5019803,5148144,6697103
6665003,7477284
6321201,5606610,5412806,8402281,4827508
6240088
7870249
7631336
7359884
5940510
8606632
5944839,5664093,5581664
7533056
7617116,5832447,7603382,4858121,5367664,8083137,5253164
8083137
7024387,6418419,5101353
8494917
8538805
8073557,6516236
7997267
7890416
8904464
7487772
7141906,7122935,8179014,3387155,7990018,3864803,7417354
5878400
7516484,6029183,5436857,5463742,6999792
5745574
5614906
6998973,5883582,6486773,6271748
RE43715
8794516
8479246,7870592
5779334,5287131,5632545,5264951,5136397
6810401
6501420,5639697,7330883,6731612,6314308,6141570
8273565
8103313
7579016
6698759
8370199
7276543,5664041,6042943
7734251
7439616
6918082
7260587
6397224
7610244
6757717,5742820,6292880,5835943
6065880,5552592,5424524
6982733
9037502
6343275
8156944
7757298
7739080
5862223
9081485
6326978,5345543,6327393,5396590,5045844,6137468
8438055,8671012,8452646,8626608,8155679,8457670,8620736,7664516
7099849
8468772
5527533
